epoch,train_loss,valid_all_accounts_pr_auc
1,1.4428431987762451,0.01397505033260558
2,0.9651011824607849,0.01398622228214117
3,0.8751788139343262,0.013993560579231824
4,0.8858858346939087,0.014003080327891595
5,0.8413906693458557,0.01401279855842295
6,0.8290939927101135,0.014037449381133658
7,0.8600115180015564,0.014044867312973629
8,0.8296591639518738,0.014049272910159245
9,0.8164898157119751,0.014053420370412725
10,0.8189990520477295,0.01405629497679237
11,0.8173463940620422,0.014054998448616135
12,0.7856271266937256,0.014055959291856289
13,0.8179846405982971,0.01405509969935215
14,0.789852499961853,0.014052874435679694
15,0.8030014634132385,0.014050610615591005
16,0.7816370129585266,0.014049247026478947
17,0.8088901042938232,0.014048849334637762
18,0.7522624135017395,0.014048503781606136
19,0.7967135906219482,0.01404835187752585
20,0.8050349950790405,0.014048207438235573
21,0.7882709503173828,0.014048667215938756
22,0.7686790227890015,0.014049457382540974
23,0.7807206511497498,0.014050414861551896
24,0.7794182896614075,0.014051076687625511
25,0.7468672394752502,0.014051816661480714
26,0.7591069936752319,0.014054498353639179
27,0.7428198456764221,0.014056393317954325
28,0.7267105579376221,0.01405805448659575
29,0.7578938007354736,0.014060434306909675
30,0.7680491209030151,0.014062264657818813
31,0.7296680808067322,0.014063687526163205
32,0.727481484413147,0.01406475062041837
33,0.7172026038169861,0.014065842254421338
34,0.7199382185935974,0.014067445140495505
35,0.7325873374938965,0.014069282069552207
36,0.7327911853790283,0.01407025858864036
37,0.7486798763275146,0.014070789868909115
38,0.7252727150917053,0.014071675754764269
39,0.7386913299560547,0.01407182819695306
40,0.7301796078681946,0.014070770572598607
41,0.7408282160758972,0.014070382723219898
42,0.7123392820358276,0.014069753769394688
43,0.7344481348991394,0.014069940876919103
44,0.7392244338989258,0.014068875993942872
45,0.7060986161231995,0.01406785559186829
46,0.7167622447013855,0.014066385297478024
47,0.7218467593193054,0.014065838175583972
48,0.704732358455658,0.014065650777578449
49,0.7023529410362244,0.01406491268623771
50,0.7129582762718201,0.01406439086488964
51,0.7140406966209412,0.014064167945790015
52,0.7053309082984924,0.01406372737334362
53,0.7032263278961182,0.014063992163635509
54,0.7056717276573181,0.014064087875262471
55,0.7238239645957947,0.014064501286242712
56,0.7183266282081604,0.014065324432571536
57,0.7167996168136597,0.014065264152853602
58,0.7359809279441833,0.014065360460142298
59,0.7192675471305847,0.014065270460712641
60,0.7175940275192261,0.014065092446796748
61,0.731988787651062,0.014064631657990736
62,0.7141196131706238,0.01406122463871552
63,0.694717288017273,0.014060756757215326
64,0.716295599937439,0.014060440557820976
65,0.7073774933815002,0.014059526034228997
66,0.7196088433265686,0.014059228139845923
67,0.7276318669319153,0.014058759424713966
68,0.7072371244430542,0.014058213684121358
69,0.7091524004936218,0.014057835548513226
