epoch,train_loss,valid_all_accounts_pr_auc
1,0.9745091928376092,0.013913670148772593
2,0.760361522436142,0.013876332442493361
3,0.7225033673975203,0.013853967148986006
4,0.7175545261965858,0.013795997337578391
5,0.7031272451082865,0.013765899168767469
6,0.7067506512006124,0.013685153255394484
7,0.7012119028303359,0.013650642106099982
8,0.69966149992413,0.013671060292447674
9,0.7005655235714383,0.01365176443086836
