epoch,train_loss,valid_all_accounts_pr_auc
1,1.3833403587341309,0.03217964049255195
2,1.0246307849884033,0.022831297530000627
3,0.9574171900749207,0.010518710160993568
4,0.8905995488166809,0.010074782885655012
5,0.8852548003196716,0.010109815476530802
6,0.8564193844795227,0.01062927766688165
7,0.832801878452301,0.014169082758624526
8,0.8172615170478821,0.024855912434221583
9,0.8184212446212769,0.032814910379954106
10,0.7977698445320129,0.03570983781532806
11,0.8102304339408875,0.03625535737861516
12,0.8112634420394897,0.03688087439954111
13,0.792149543762207,0.04002820244424077
14,0.7997686862945557,0.04789511142329116
15,0.8131711483001709,0.02647177416120843
16,0.7907674312591553,0.04467653242249914
17,0.7815630435943604,0.04245126921396204
18,0.7724083662033081,0.04497347531403573
19,0.7544538378715515,0.04401303206708296
20,0.7868651747703552,0.03867692057977163
21,0.78644859790802,0.037061183225945926
22,0.7934401035308838,0.039376563418887
23,0.7731039524078369,0.035626201740223525
24,0.7512383460998535,0.029121281071376938
25,0.7632966637611389,0.029129603367450678
26,0.7846701741218567,0.028222985550871084
27,0.7592229843139648,0.029304611646244955
28,0.7390711307525635,0.03515029092688392
29,0.753965437412262,0.03447113805630044
30,0.7570898532867432,0.03730049867562268
31,0.7262030839920044,0.03946119381334689
32,0.7369042038917542,0.052402183863886134
33,0.7325997948646545,0.03936305728695362
34,0.7506434321403503,0.040729021141355196
35,0.7353110909461975,0.042450765284778556
36,0.7520260810852051,0.053000262837996956
37,0.7283090949058533,0.06005060890351392
38,0.7419261932373047,0.044859812458269775
39,0.7424901127815247,0.03874582959836948
40,0.7311992049217224,0.034279342947868316
41,0.7098883986473083,0.031775942641488454
42,0.735917329788208,0.02992038546152539
43,0.7088485360145569,0.02879537989856387
44,0.705907940864563,0.027824564919689692
45,0.7200261354446411,0.0271529456730042
46,0.6985800862312317,0.026665298440692153
47,0.7244681715965271,0.026835720228802866
48,0.7213319540023804,0.026714676820484805
49,0.7156821489334106,0.026624931838724056
50,0.7316579818725586,0.026681426684103546
51,0.7418054938316345,0.026614319502136247
52,0.7227547764778137,0.02652540962224341
53,0.7056962847709656,0.026377967879361613
54,0.7144231796264648,0.026361679783023007
55,0.702707827091217,0.026439267181350135
56,0.7007851600646973,0.02631821057187854
57,0.7043281197547913,0.026370349865228012
58,0.6938697695732117,0.026556803176175592
59,0.6949818134307861,0.026831553633530448
60,0.7181065678596497,0.027166743035800023
61,0.6991986036300659,0.02763219656485398
62,0.726143479347229,0.027917949136869357
63,0.7249718308448792,0.02830633586267376
64,0.6986029744148254,0.028755987051090906
65,0.7091244459152222,0.02915163207934087
66,0.6930526494979858,0.029598000020564293
67,0.7027521133422852,0.03005441880205291
