feature,coef,abs_coef
out_nb::in_txn_per_active_day,-0.09924725735392513,0.09924725735392513
delta::prior_in_before_out_count_24h,-0.09799920681299122,0.09799920681299122
in_nb::account_age_months,0.09683037289308051,0.09683037289308051
out_nb::activity_hour_nunique,-0.09680479923899092,0.09680479923899092
delta::fast_in_out_count_6h,-0.09677907716238558,0.09677907716238558
und2_nb::daily_amount_sum_cv,-0.09676025203198793,0.09676025203198793
out_nb::fast_in_out_count_6h,-0.09647607483669064,0.09647607483669064
self::out_active_months,-0.09635543563378851,0.09635543563378851
self::daily_txn_count_cv,-0.09630831695917064,0.09630831695917064
out_nb::daily_amount_sum_cv,-0.09605226328698965,0.09605226328698965
delta::in_txn_per_active_day,0.09577766236776492,0.09577766236776492
und2_nb::multi_in_one_out_mean_amount_ratio_24h,-0.09564837603556116,0.09564837603556116
delta::in_small_amount_ratio,-0.09518570535505226,0.09518570535505226
out_nb::in_small_amount_count,-0.09508585286713779,0.09508585286713779
und2_nb::prior_in_before_out_mean_delay_min_1h,-0.09508459673731777,0.09508459673731777
out_nb::one_in_multi_out_count_24h,-0.09455787504273805,0.09455787504273805
delta::one_in_multi_out_count_24h,-0.0939928256588849,0.0939928256588849
und2_nb::max_prior_in_count_before_out_24h,-0.09330256574654294,0.09330256574654294
und_nb::fast_in_out_in_amount_ratio_6h,-0.09325292635977919,0.09325292635977919
in_nb::prior_in_before_out_mean_delay_min_24h,-0.09253152839970757,0.09253152839970757
und_nb::prior_in_before_out_count_24h,-0.09244716077718058,0.09244716077718058
und2_nb::txn_interarrival_min_std,-0.09207415283716198,0.09207415283716198
delta::prior_in_before_out_count_1h,-0.09134578371647883,0.09134578371647883
delta::multi_in_one_out_count_24h,-0.09133324551259717,0.09133324551259717
delta::prior_in_before_out_count_6h,-0.09090261804345165,0.09090261804345165
mix::txn_interarrival_min_min,-0.09080015107107699,0.09080015107107699
out_nb::activity_hour_entropy,-0.09064786102920636,0.09064786102920636
in_nb::burst_day_amount_ratio,-0.09003506515341819,0.09003506515341819
und_nb::fast_in_out_count_6h,-0.08998115558539464,0.08998115558539464
out_nb::prior_in_before_out_out_amount_ratio_6h,-0.08985188017845282,0.08985188017845282
und_nb::prior_in_before_out_mean_delay_min_24h,-0.0894011815447703,0.0894011815447703
self::txn_interarrival_min_min,-0.08932028744161973,0.08932028744161973
und2_nb::daily_txn_count_cv,-0.08916930352207421,0.08916930352207421
und2_nb::prior_in_before_out_mean_delay_min_24h,0.08873123481304368,0.08873123481304368
und_nb::one_in_multi_out_count_24h,-0.08750940573019601,0.08750940573019601
und_nb::out_round_1000_ratio,0.08709574025266846,0.08709574025266846
und2_nb::daily_txn_count_std,-0.08683582322131035,0.08683582322131035
out_nb::max_prior_in_count_before_out_24h,-0.08650470350522456,0.08650470350522456
und_nb::prior_in_before_out_count_1h,-0.08607765513297864,0.08607765513297864
und_nb::prior_in_before_out_count_6h,-0.08538631901869734,0.08538631901869734
in_nb::in_self_loop_count,-0.08529182877791526,0.08529182877791526
in_nb::total_self_loop_count,-0.08529182877791526,0.08529182877791526
in_nb::out_self_loop_count,-0.08529182877791526,0.08529182877791526
delta::total_self_loop_count,-0.0851259475565824,0.0851259475565824
delta::in_self_loop_count,-0.0851259475565824,0.0851259475565824
delta::out_self_loop_count,-0.0851259475565824,0.0851259475565824
mix::out_round_1000_ratio,-0.08457735793994701,0.08457735793994701
in_nb::region_code,-0.08456222496592716,0.08456222496592716
out_nb::prior_in_before_out_out_amount_ratio_24h,-0.08414972938267364,0.08414972938267364
und_nb::fast_in_out_in_amount_ratio_24h,-0.0839776044759605,0.0839776044759605
und_nb::total_self_loop_count,-0.08381288522450232,0.08381288522450232
und_nb::out_self_loop_count,-0.08381288522450232,0.08381288522450232
und_nb::in_self_loop_count,-0.08381288522450232,0.08381288522450232
und2_nb::activity_hour_entropy,-0.08362682320027326,0.08362682320027326
out_nb::counterparty_amount_top_ratio,-0.08336735789128244,0.08336735789128244
und_nb::multi_in_one_out_count_24h,-0.08325672732308875,0.08325672732308875
und2_nb::daily_txn_count_max,-0.08310758030828994,0.08310758030828994
delta::prior_in_before_out_out_amount_ratio_1h,-0.0829441316141269,0.0829441316141269
und_nb::fast_in_out_mean_delay_min_24h,-0.08285393842364065,0.08285393842364065
und2_nb::prior_in_before_out_out_amount_ratio_6h,0.08145054406832662,0.08145054406832662
delta::multi_in_one_out_mean_amount_ratio_24h,-0.08097374800664121,0.08097374800664121
delta::fast_in_out_balance_ratio_6h,-0.07995735572818102,0.07995735572818102
in_nb::fast_in_out_in_amount_ratio_6h,-0.07992478322469299,0.07992478322469299
delta::fast_in_out_mean_delay_min_6h,0.07957547397225431,0.07957547397225431
mix::txn_interarrival_min_mean,-0.07946875044526786,0.07946875044526786
delta::fast_in_out_mean_delay_min_1h,-0.07887517975215765,0.07887517975215765
delta::out_active_days,-0.07850361237617098,0.07850361237617098
delta::prior_in_before_out_out_amount_ratio_24h,-0.07848063545196463,0.07848063545196463
und2_nb::fast_in_out_mean_delay_min_1h,-0.07791728796335703,0.07791728796335703
und2_nb::in_active_days,-0.07787263305814242,0.07787263305814242
und2_nb::prior_in_before_out_out_amount_ratio_24h,0.07747832691171705,0.07747832691171705
delta::fast_in_out_out_amount_ratio_1h,-0.07736129915516564,0.07736129915516564
und2_nb::activity_hour_nunique,-0.07697300104716069,0.07697300104716069
delta::out_small_amount_ratio,-0.07644392377865698,0.07644392377865698
und2_nb::in_counterparty_nunique,-0.07601632478608222,0.07601632478608222
in_nb::txn_interarrival_min_std,-0.07586058696536656,0.07586058696536656
delta::max_next_out_count_after_in_24h,-0.07581470488778448,0.07581470488778448
out_nb::fast_in_out_out_amount_ratio_1h,-0.07518386131347976,0.07518386131347976
mix::activity_hour_nunique,-0.07485679304360333,0.07485679304360333
und2_nb::out_active_months,-0.07458362482024847,0.07458362482024847
in_nb::in_round_1000_ratio,-0.07377273433028178,0.07377273433028178
und2_nb::one_in_multi_out_in_amount_ratio_24h,-0.07357257099043539,0.07357257099043539
out_nb::prior_in_before_out_out_amount_ratio_1h,-0.07349562529639776,0.07349562529639776
und2_nb::fast_in_out_mean_delay_min_24h,0.07322378251385163,0.07322378251385163
in_nb::fast_in_out_in_amount_ratio_24h,-0.07280755143280242,0.07280755143280242
und_nb::prior_in_before_out_out_amount_ratio_1h,-0.07278582779787592,0.07278582779787592
out_nb::txn_interarrival_min_cv,-0.07262696035255838,0.07262696035255838
self::out_round_1000_ratio,-0.07183242852236368,0.07183242852236368
mix::fast_in_out_mean_delay_min_6h,-0.0718298018400094,0.0718298018400094
delta::fast_in_out_balance_ratio_24h,-0.07164891618219288,0.07164891618219288
und_nb::multi_in_one_out_mean_amount_ratio_24h,-0.07125693121936655,0.07125693121936655
in_nb::in_txn_count,0.07096920234334785,0.07096920234334785
und2_nb::activity_hour_txn_max_ratio,-0.06980289265435866,0.06980289265435866
und_nb::fast_in_out_out_amount_ratio_1h,-0.06975698063050816,0.06975698063050816
in_nb::counterparty_txn_max,0.0695447149531341,0.0695447149531341
out_nb::txn_interarrival_min_mean,-0.069528095165398,0.069528095165398
delta::prior_in_before_out_mean_delay_min_1h,-0.06947167602942281,0.06947167602942281
in_nb::fast_in_out_mean_delay_min_24h,-0.06920115666605205,0.06920115666605205
und_nb::max_next_out_count_after_in_24h,-0.06903876988976862,0.06903876988976862
in_nb::prior_in_before_out_count_24h,-0.06873724907676067,0.06873724907676067
und_nb::counterparty_txn_max,0.0687316861465239,0.0687316861465239
out_nb::daily_txn_count_max,-0.06862782644542696,0.06862782644542696
mix::monthly_txn_count_cv,-0.06860901542540762,0.06860901542540762
und2_nb::monthly_amount_sum_cv,-0.0682800758352226,0.0682800758352226
in_nb::daily_txn_count_std,0.06789480011574946,0.06789480011574946
mix::monthly_amount_sum_cv,-0.06786375508290102,0.06786375508290102
und2_nb::fast_in_out_in_amount_ratio_24h,-0.0676327559574165,0.0676327559574165
und_nb::fast_in_out_mean_delay_min_1h,-0.06747907928139871,0.06747907928139871
und2_nb::txn_interarrival_min_cv,-0.06729829111597206,0.06729829111597206
delta::monthly_amount_sum_cv,-0.06673915654303379,0.06673915654303379
delta::counterparty_txn_max,0.06671053781458205,0.06671053781458205
und_nb::fast_in_out_balance_ratio_6h,-0.06588986388416274,0.06588986388416274
und2_nb::in_night_txn_count,-0.06575337990451778,0.06575337990451778
out_nb::account_age_months,-0.0653031371024851,0.0653031371024851
out_nb::daily_txn_count_std,-0.06527780953529527,0.06527780953529527
out_nb::prior_in_before_out_count_1h,-0.06515419578994812,0.06515419578994812
mix::daily_amount_sum_cv,-0.06513369178422476,0.06513369178422476
out_nb::multi_in_one_out_count_24h,-0.06427162811126019,0.06427162811126019
in_nb::counterparty_count,-0.06389868269634734,0.06389868269634734
und2_nb::fast_in_out_in_amount_ratio_6h,-0.06300835033341007,0.06300835033341007
und_nb::prior_in_before_out_out_amount_ratio_24h,-0.06272220321453265,0.06272220321453265
in_nb::daily_amount_sum_cv,-0.06258648236904461,0.06258648236904461
und_nb::out_active_days,-0.062492128083856596,0.062492128083856596
in_nb::out_active_days,-0.062405926329177706,0.062405926329177706
delta::in_large_amount_ratio,-0.0623925613883777,0.0623925613883777
out_nb::in_round_1000_count,-0.06134832973965294,0.06134832973965294
in_nb::in_out_count_ratio,0.060735708020054305,0.060735708020054305
out_nb::multi_in_one_out_mean_amount_ratio_24h,-0.06069184106197921,0.06069184106197921
und2_nb::burst_day_amount_ratio,-0.05964448261348932,0.05964448261348932
in_nb::prior_in_before_out_count_6h,-0.059190137854054324,0.059190137854054324
und2_nb::fast_in_out_in_amount_ratio_1h,-0.058674724599556145,0.058674724599556145
mix::out_active_months,0.05863114467980141,0.05863114467980141
delta::in_amount_median,-0.05852355274574598,0.05852355274574598
