account_id,node2vec_00,node2vec_01,node2vec_02,node2vec_03,node2vec_04,node2vec_05,node2vec_06,node2vec_07
5662,0.122640654,-0.08087462,-0.056348234,-0.056654945,-0.076233,-0.065403536,-0.044830233,-0.049240038
5660,-0.03215158,0.039864793,-0.051038563,0.112021044,0.0024150014,-0.07696983,-0.03708902,0.098355085
1229,-0.08660062,0.07376106,-0.061383948,0.07871197,-0.059792414,-0.076863855,0.092505395,-0.018841848
3386,0.04483618,0.07096262,-0.05953248,-0.12003991,-0.053829417,0.08485243,-0.0068550557,0.1046332
8085,0.0041479766,0.12128875,0.09780142,-0.024832517,-0.078562826,-0.10047349,-0.08026017,-0.052283004
1247,0.07776493,0.050387293,0.0028516948,-0.038636,0.055761904,0.123833135,-0.076499134,-0.024816066
10990,-0.04978566,-0.10823451,0.10092461,0.09679648,-0.109838516,0.11998351,0.06592193,-0.10978615
2422,-0.04088877,0.011934653,-0.04280947,0.0029244274,0.10048552,-0.040987045,-0.06270155,-0.12405746
7364,-0.09479453,0.101297066,0.09500715,0.062197596,-0.036718205,-0.117780015,0.09548199,-0.09036523
10067,-0.01095292,-0.0064181536,-0.08629398,-0.08536382,-0.005592257,-0.039440617,0.029950812,0.02864863
5661,-0.009309337,0.0017706156,-0.04133594,-0.1053182,-0.038601503,0.0044624954,-0.0110988915,0.08532749
1233,-0.098393574,0.1080689,-0.052871212,-0.0123862475,0.017472535,-0.09615721,0.08347055,0.08403467
8089,-0.12410724,-0.07932769,-0.051438093,-0.10260686,0.087763146,-0.031079486,-0.10057932,0.043425098
8087,0.06878632,-0.077207774,-0.113583535,-0.111162126,0.0009913146,0.0786504,0.06981152,-0.12350465
10066,0.098909035,-0.07725756,0.065391704,-0.02470772,0.09375158,-0.01602438,0.105039015,0.108229265
5659,-0.085752696,0.059648126,-0.032777935,0.07944341,-0.062258348,-0.0067568123,-0.110253945,-0.116681546
10988,0.05900161,0.04255271,-0.09670375,-0.026503876,-0.07250513,0.05176498,-0.08204065,0.04690583
1242,0.029054478,0.018092051,0.028642744,0.028246105,-0.06813967,0.07595277,0.0104955435,0.06349
5657,0.08751565,-0.08672884,-0.050715923,-0.032591417,0.08990933,-0.0962612,-0.07150318,0.08331305
7372,0.005019471,0.07059167,-0.074215725,-0.022390142,0.083087996,0.057480514,0.051650837,0.10667454
5649,0.0752109,-0.093155235,0.034188136,-0.04130386,-0.101588294,0.123775125,0.09209664,-0.114933535
1239,-0.08923212,0.023772135,0.105564624,-0.10552244,0.009362206,0.020369425,0.03202468,-0.036987245
3384,0.10620655,-0.10441242,0.03426069,-0.057580754,0.012943059,0.01556769,0.021084115,-0.011239976
6968,-0.116647944,-0.0850019,0.08411358,-0.01856485,-0.08642535,-0.073855475,0.07571161,-0.028320506
3784,0.068676576,-0.08648878,-0.022016615,0.07470891,0.049185395,0.103462785,0.004101515,-0.11525269
6963,0.0041939467,0.08953738,-0.109198585,-0.060027197,-0.05922529,-0.01763457,0.095597,-0.096872345
1241,0.089187086,-0.10290189,-0.116760135,0.090871125,0.046070755,-8.702278e-06,0.07340391,0.08651905
10068,0.007518649,0.11371651,0.055039316,0.03976211,0.09984355,0.013242796,-0.004537955,-0.08477865
3768,0.03358309,-0.10305855,0.038721666,0.08404766,-0.08157368,-0.08917718,0.124056265,-0.051262334
3780,-0.116790205,0.01897946,-0.037991613,0.04189405,-0.059972137,0.077317625,0.012526095,-0.07864064
3782,0.025184393,-0.0945379,-0.11088227,-0.07827291,0.0536049,0.0048333704,0.037477955,-0.08917545
10989,-0.09745143,-0.059959054,0.012099609,0.08179933,0.06745154,-0.11427793,0.011155784,-0.100202665
5666,0.12466085,-0.119465604,-0.10061842,0.045399174,0.105150715,0.08635819,-0.08781244,0.12247378
10059,0.06265337,-0.54813564,-0.50356156,2.8778167,0.09906011,-0.96805173,1.4143037,0.3459746
5328,-0.1529915,-0.6645793,-0.71421236,2.7526853,0.027986858,-0.8888039,1.3523821,0.42608932
3382,-0.11687979,-0.03898722,-0.116824314,-0.08535701,0.013640434,0.10253787,-0.019089043,-0.024235055
