root_account_id,counterparty_id,direct_txn_count,direct_amount_sum,first_time,last_time,in_txn_count,out_txn_count,is_reciprocal,label_code,label_text,counterparty_score,association_score
9530,9429,1,20000000.0,2025-09-19 18:26:52,2025-09-19 18:26:52,1,0,False,0,其它,0.4156323290636839,2.996896987191052
9544,8467,1,27544.0,2025-09-10 16:04:23,2025-09-10 16:04:23,0,1,False,0,其它,0.200189428107523,2.350568284322569
9544,512,1,27544.0,2025-09-10 16:04:23,2025-09-10 16:04:23,0,1,False,0,其它,0.2000360815442901,2.35010824463287
9928,3842,4,1245000.0,2025-07-01 10:17:46,2025-08-06 14:50:22,2,2,True,0,其它,0.3055836189788923,4.666750856936677
9928,5584,4,1245000.0,2025-07-01 10:17:46,2025-08-06 14:50:22,2,2,True,0,其它,0.3055114558903121,4.666534367670936
10083,5919,1,10950547.5,2025-07-10 14:30:10,2025-07-10 14:30:10,0,1,False,0,其它,0.0414216128450297,1.874264838535089
10083,2325,1,10950547.5,2025-07-10 14:30:10,2025-07-10 14:30:10,0,1,False,0,其它,0.0412682662817968,1.8738047988453903
10551,7629,1,1000.0,2025-07-29 15:09:05,2025-07-29 15:09:05,1,0,False,0,其它,0.5865957062962295,3.5097871188886884
10551,9215,1,1000.0,2025-07-29 15:09:05,2025-07-29 15:09:05,1,0,False,0,其它,0.5865235432076493,3.509570629622948
10797,5324,1,116000.0,2025-07-11 10:11:32,2025-07-11 10:11:32,1,0,False,0,其它,0.4877052137831499,3.2131156413494497
10797,10913,1,116000.0,2025-07-11 10:11:32,2025-07-11 10:11:32,1,0,False,0,其它,0.4876150099224247,3.212845029767274
10847,4577,1,40000000.0,2025-09-19 16:51:10,2025-09-19 16:51:10,1,0,False,0,其它,0.4157225329244092,2.9971675987732276
10847,9429,1,40000000.0,2025-09-19 16:51:10,2025-09-19 16:51:10,1,0,False,0,其它,0.4156323290636839,2.996896987191052
