account_id,customer_type,label_code,label_text,total_txn_count,total_amount_sum,fast_in_out_count_24h,graph_total_degree,pagerank
624,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
630,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
633,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
666,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
668,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
680,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
683,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
684,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
695,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
707,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
708,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
709,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
710,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
711,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
739,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
742,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
747,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
748,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
750,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
752,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
758,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
762,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
763,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
765,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
861,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
870,对私,2,受害人,0.0,0.0,0,0.0,3.0677439183055704e-05
