root_account_id,path_type,account_1,account_2,account_3,label_1,label_2,label_3,time_1,time_2,delay_hours,amount_1,amount_2,amount_ratio,path_evidence_score
4379,root_mid_out_24h,4379,10949,6050,嫌疑人,其它,其它,2025-11-19 15:37:53,2025-11-20 10:45:27,19.12611111111111,3000.0,1300000.0,433.3333333333333,5.203078703703704
4379,root_mid_out_24h,4379,10949,10500,嫌疑人,其它,其它,2025-11-19 15:37:53,2025-11-20 10:45:27,19.12611111111111,3000.0,1300000.0,433.3333333333333,5.203078703703704
4379,root_mid_out_24h,4379,10662,768,嫌疑人,其它,其它,2025-11-19 15:37:53,2025-11-20 12:18:11,20.671666666666667,3000.0,2750000.0,916.6666666666666,5.138680555555555
4379,root_mid_out_24h,4379,10662,4481,嫌疑人,其它,其它,2025-11-19 15:37:53,2025-11-20 12:18:11,20.671666666666667,3000.0,2750000.0,916.6666666666666,5.138680555555555
4379,root_mid_out_24h,4379,10949,4481,嫌疑人,其它,其它,2025-11-19 15:37:53,2025-11-20 12:18:11,20.671666666666667,3000.0,2750000.0,916.6666666666666,5.138680555555555
4379,root_mid_out_24h,4379,10949,768,嫌疑人,其它,其它,2025-11-19 15:37:53,2025-11-20 12:18:11,20.671666666666667,3000.0,2750000.0,916.6666666666666,5.138680555555555
4587,root_mid_out_24h,4587,8688,5436,其它,其它,其它,2025-07-02 11:04:51,2025-07-02 13:19:58,2.2519444444444443,20000.0,993.04,0.0496519999999999,1.0054729814814816
4587,root_mid_out_24h,4587,5989,5436,其它,其它,其它,2025-07-02 11:04:51,2025-07-02 13:19:58,2.2519444444444443,20000.0,993.04,0.0496519999999999,1.0054729814814816
4630,root_mid_out_24h,4630,5989,11047,其它,其它,其它,2025-08-05 10:09:32,2025-08-05 16:34:26,6.415,20294.96,10000.0,0.4927331711912711,1.7181746757158756
4630,root_mid_out_24h,4630,8688,11047,其它,其它,其它,2025-08-05 10:09:32,2025-08-05 16:34:26,6.415,20294.96,10000.0,0.4927331711912711,1.7181746757158756
4630,root_mid_out_24h,4630,5989,1091,其它,其它,其它,2025-08-05 10:09:32,2025-08-05 11:41:39,1.5352777777777775,20294.96,200000.0,9.854663423825423,0.9360300925925926
4630,root_mid_out_24h,4630,8688,1091,其它,其它,其它,2025-08-05 10:09:32,2025-08-05 11:41:39,1.5352777777777775,20294.96,200000.0,9.854663423825423,0.9360300925925926
4630,root_mid_out_24h,4630,143,3325,其它,其它,其它,2025-09-03 12:14:11,2025-09-03 16:40:48,4.443611111111111,3640.11,32685.0,8.979124257233984,0.814849537037037
4630,root_mid_out_24h,4630,2791,3325,其它,其它,其它,2025-09-03 12:14:11,2025-09-03 16:40:48,4.443611111111111,3640.11,32685.0,8.979124257233984,0.814849537037037
4630,root_mid_out_24h,4630,143,5557,其它,其它,其它,2025-09-03 12:14:11,2025-09-03 16:55:23,4.6866666666666665,3640.11,10000.0,2.7471697283873286,0.8047222222222222
4630,root_mid_out_24h,4630,2791,5557,其它,其它,其它,2025-09-03 12:14:11,2025-09-03 16:55:23,4.6866666666666665,3640.11,10000.0,2.7471697283873286,0.8047222222222222
4630,root_mid_out_24h,4630,5989,11047,其它,其它,其它,2025-08-05 10:09:32,2025-08-05 16:25:32,6.266666666666667,20294.96,2740000.0,135.0088889064083,0.7388888888888889
4630,root_mid_out_24h,4630,8688,11047,其它,其它,其它,2025-08-05 10:09:32,2025-08-05 16:25:32,6.266666666666667,20294.96,2740000.0,135.0088889064083,0.7388888888888889
4925,root_mid_out_24h,4925,4577,1725,其它,其它,其它,2025-09-26 14:40:36,2025-09-26 15:24:37,0.7336111111111111,1000.0,50000000.0,50000.0,0.9694328703703704
4925,root_mid_out_24h,4925,9429,1725,其它,其它,其它,2025-09-26 14:40:36,2025-09-26 15:24:37,0.7336111111111111,1000.0,50000000.0,50000.0,0.9694328703703704
4925,root_mid_out_24h,4925,4577,7922,其它,其它,其它,2025-09-26 14:40:36,2025-09-26 15:25:09,0.7425,1000.0,30000000.0,30000.0,0.9690625
4925,root_mid_out_24h,4925,9429,7922,其它,其它,其它,2025-09-26 14:40:36,2025-09-26 15:25:09,0.7425,1000.0,30000000.0,30000.0,0.9690625
4925,root_mid_out_24h,4925,4577,6627,其它,其它,其它,2025-09-26 14:40:36,2025-09-26 15:26:10,0.7594444444444445,1000.0,48000000.0,48000.0,0.9683564814814816
4925,root_mid_out_24h,4925,9429,6627,其它,其它,其它,2025-09-26 14:40:36,2025-09-26 15:26:10,0.7594444444444445,1000.0,48000000.0,48000.0,0.9683564814814816
4925,root_mid_out_24h,4925,4577,7259,其它,其它,其它,2025-09-26 14:40:36,2025-09-26 16:15:47,1.5863888888888888,1000.0,30000000.0,30000.0,0.9339004629629628
4925,root_mid_out_24h,4925,9429,7259,其它,其它,其它,2025-09-26 14:40:36,2025-09-26 16:15:47,1.5863888888888888,1000.0,30000000.0,30000.0,0.9339004629629628
4925,root_mid_out_24h,4925,4577,8035,其它,其它,其它,2025-09-26 14:40:36,2025-09-26 16:49:49,2.153611111111111,1000.0,59200000.0,59200.0,0.9102662037037036
4925,root_mid_out_24h,4925,9429,8035,其它,其它,其它,2025-09-26 14:40:36,2025-09-26 16:49:49,2.153611111111111,1000.0,59200000.0,59200.0,0.9102662037037036
6625,root_mid_out_24h,6625,8688,1626,其它,其它,其它,2025-08-28 09:39:05,2025-08-28 15:22:03,5.716111111111111,359141.44,24637.0,0.0685997138063488,0.8990281313164012
6625,root_mid_out_24h,6625,5989,1626,其它,其它,其它,2025-08-28 09:39:05,2025-08-28 15:22:03,5.716111111111111,359141.44,24637.0,0.0685997138063488,0.8990281313164012
6625,root_mid_out_24h,6625,8688,4139,其它,其它,其它,2025-08-28 09:39:05,2025-08-28 15:22:02,5.715833333333333,359141.44,9855.81,0.0274426977850286,0.816725673347835
6625,root_mid_out_24h,6625,5989,4139,其它,其它,其它,2025-08-28 09:39:05,2025-08-28 15:22:02,5.715833333333333,359141.44,9855.81,0.0274426977850286,0.816725673347835
6625,root_mid_out_24h,6625,8688,1046,其它,其它,其它,2025-08-28 09:39:05,2025-08-28 15:22:02,5.715833333333333,359141.44,5530.0,0.0153978332325002,0.7926359442427782
6625,root_mid_out_24h,6625,5989,1046,其它,其它,其它,2025-08-28 09:39:05,2025-08-28 15:22:02,5.715833333333333,359141.44,5530.0,0.0153978332325002,0.7926359442427782
6739,root_mid_out_24h,6739,9429,6475,其它,其它,其它,2025-09-18 10:52:12,2025-09-18 16:37:51,5.760833333333333,7473523.0,45000000.0,6.021256641613332,0.7599652777777778
6739,root_mid_out_24h,6739,4577,6475,其它,其它,其它,2025-09-18 10:52:12,2025-09-18 16:37:51,5.760833333333333,7473523.0,45000000.0,6.021256641613332,0.7599652777777778
6739,root_mid_out_24h,6739,9429,10710,其它,其它,其它,2025-09-18 10:52:12,2025-09-18 17:13:00,6.346666666666667,7473523.0,15000000.0,2.0070855472044444,0.7355555555555555
6739,root_mid_out_24h,6739,4577,10710,其它,其它,其它,2025-09-18 10:52:12,2025-09-18 17:13:00,6.346666666666667,7473523.0,15000000.0,2.0070855472044444,0.7355555555555555
6739,root_mid_out_24h,6739,9429,6416,其它,其它,其它,2025-09-18 10:52:12,2025-09-18 18:14:37,7.373611111111111,7473523.0,69300000.0,9.272735228084532,0.6927662037037037
6739,root_mid_out_24h,6739,4577,6416,其它,其它,其它,2025-09-18 10:52:12,2025-09-18 18:14:37,7.373611111111111,7473523.0,69300000.0,9.272735228084532,0.6927662037037037
6739,root_mid_out_24h,6739,4577,10265,其它,其它,其它,2025-08-06 15:24:37,2025-08-07 08:50:13,17.426666666666666,6474386.0,14167238.4,2.1881979851062323,0.2738888888888889
6739,root_mid_out_24h,6739,9429,10265,其它,其它,其它,2025-08-06 15:24:37,2025-08-07 08:50:13,17.426666666666666,6474386.0,14167238.4,2.1881979851062323,0.2738888888888889
6739,root_mid_out_24h,6739,9429,10265,其它,其它,其它,2025-09-18 10:52:12,2025-09-19 08:50:12,21.966666666666665,7473523.0,55004554.62,7.359923107214629,0.0847222222222222
6739,root_mid_out_24h,6739,4577,10265,其它,其它,其它,2025-09-18 10:52:12,2025-09-19 08:50:12,21.966666666666665,7473523.0,55004554.62,7.359923107214629,0.0847222222222222
7003,root_mid_out_24h,7003,7974,3100,其它,其它,其它,2025-07-26 10:26:46,2025-07-26 11:10:41,0.7319444444444444,135.15,6000.0,44.39511653718091,0.9695023148148147
7003,root_mid_out_24h,7003,2588,3100,其它,其它,其它,2025-07-26 10:26:46,2025-07-26 11:10:41,0.7319444444444444,135.15,6000.0,44.39511653718091,0.9695023148148147
7003,root_mid_out_24h,7003,7974,5736,其它,其它,其它,2025-07-26 10:26:46,2025-07-26 13:59:54,3.5522222222222224,135.15,15000.0,110.98779134295226,0.8519907407407408
7003,root_mid_out_24h,7003,2588,5736,其它,其它,其它,2025-07-26 10:26:46,2025-07-26 13:59:54,3.5522222222222224,135.15,15000.0,110.98779134295226,0.8519907407407408
8275,root_mid_out_24h,8275,11014,5390,其它,其它,其它,2025-07-10 12:39:00,2025-07-10 14:52:33,2.2258333333333336,40000.0,29746.2,0.7436550000000001,2.3945669444444446
8275,root_mid_out_24h,8275,4588,5390,其它,其它,其它,2025-07-10 12:39:00,2025-07-10 14:52:33,2.2258333333333336,40000.0,29746.2,0.7436550000000001,2.3945669444444446
8275,root_mid_out_24h,8275,11014,4701,其它,其它,其它,2025-07-10 12:39:00,2025-07-10 14:07:20,1.4722222222222223,40000.0,518740.0,12.9685,0.9386574074074074
8275,root_mid_out_24h,8275,4588,4701,其它,其它,其它,2025-07-10 12:39:00,2025-07-10 14:07:20,1.4722222222222223,40000.0,518740.0,12.9685,0.9386574074074074
8275,root_mid_out_24h,8275,11014,207,其它,其它,其它,2025-07-10 12:39:00,2025-07-10 14:52:33,2.2258333333333336,40000.0,236850.0,5.92125,0.9072569444444444
8275,root_mid_out_24h,8275,4588,207,其它,其它,其它,2025-07-10 12:39:00,2025-07-10 14:52:33,2.2258333333333336,40000.0,236850.0,5.92125,0.9072569444444444
8275,root_mid_out_24h,8275,11014,4045,其它,其它,其它,2025-07-11 10:14:05,2025-07-11 13:32:46,3.3113888888888887,85072.64,282410.0,3.31963366835683,0.862025462962963
8275,root_mid_out_24h,8275,11014,4045,其它,其它,其它,2025-07-11 10:14:05,2025-07-11 13:32:46,3.3113888888888887,85072.64,308184.5,3.6226041650993785,0.862025462962963
8275,root_mid_out_24h,8275,4588,4045,其它,其它,其它,2025-07-11 10:14:05,2025-07-11 13:32:46,3.3113888888888887,85072.64,282410.0,3.31963366835683,0.862025462962963
8275,root_mid_out_24h,8275,4588,4045,其它,其它,其它,2025-07-11 10:14:05,2025-07-11 13:32:46,3.3113888888888887,85072.64,308184.5,3.6226041650993785,0.862025462962963
8275,root_mid_out_24h,8275,4588,5613,其它,其它,其它,2025-07-10 12:39:00,2025-07-10 16:18:43,3.661944444444445,40000.0,245360.0,6.134,0.8474189814814814
8275,root_mid_out_24h,8275,11014,5613,其它,其它,其它,2025-07-10 12:39:00,2025-07-10 16:18:43,3.661944444444445,40000.0,245360.0,6.134,0.8474189814814814
8275,root_mid_out_24h,8275,4588,5613,其它,其它,其它,2025-07-10 12:39:00,2025-07-10 16:18:45,3.6625,40000.0,237120.0,5.928,0.8473958333333333
8275,root_mid_out_24h,8275,11014,5613,其它,其它,其它,2025-07-10 12:39:00,2025-07-10 16:18:45,3.6625,40000.0,231070.0,5.77675,0.8473958333333333
8275,root_mid_out_24h,8275,4588,207,其它,其它,其它,2025-07-11 10:14:05,2025-07-11 14:03:30,3.823611111111111,85072.64,237800.0,2.7952582639965096,0.8406828703703704
8275,root_mid_out_24h,8275,11014,207,其它,其它,其它,2025-07-11 10:14:05,2025-07-11 14:03:30,3.823611111111111,85072.64,237800.0,2.7952582639965096,0.8406828703703704
8275,root_mid_out_24h,8275,4588,4701,其它,其它,其它,2025-07-11 10:14:05,2025-07-11 15:27:23,5.221666666666667,85072.64,1136842.1,13.363192913726436,0.7824305555555555
8275,root_mid_out_24h,8275,11014,4701,其它,其它,其它,2025-07-11 10:14:05,2025-07-11 15:27:23,5.221666666666667,85072.64,1136842.1,13.363192913726436,0.7824305555555555
8275,root_mid_out_24h,8275,4588,2260,其它,其它,其它,2025-07-11 10:14:05,2025-07-12 08:26:31,22.20722222222222,85072.64,22667.29,0.2664462981282819,0.607591670330638
8275,root_mid_out_24h,8275,11014,4695,其它,其它,其它,2025-07-11 10:14:05,2025-07-12 08:26:31,22.20722222222222,85072.64,22667.29,0.2664462981282819,0.607591670330638
9365,root_mid_out_24h,9365,5918,63,其它,其它,受害人,2025-08-19 09:30:43,2025-08-19 10:56:30,1.429722222222222,200000.0,7873.7,0.0393685,4.019165240740741
9365,root_mid_out_24h,9365,1511,63,其它,其它,受害人,2025-08-19 09:30:43,2025-08-19 10:56:30,1.429722222222222,200000.0,7873.7,0.0393685,4.019165240740741
9365,root_mid_out_24h,9365,1511,63,其它,其它,受害人,2025-08-18 13:24:01,2025-08-18 13:47:06,0.3847222222222222,400000.0,1867.55,0.004668875,3.993307657407408
9365,root_mid_out_24h,9365,5918,63,其它,其它,受害人,2025-08-18 13:24:01,2025-08-18 13:47:06,0.3847222222222222,400000.0,1867.55,0.004668875,3.993307657407408
9365,root_mid_out_24h,9365,1511,63,其它,其它,受害人,2025-08-19 09:46:29,2025-08-19 10:56:30,1.1669444444444443,400000.0,7873.7,0.01968425,3.990745814814815
9365,root_mid_out_24h,9365,5918,63,其它,其它,受害人,2025-08-19 09:46:29,2025-08-19 10:56:30,1.1669444444444443,400000.0,7873.7,0.01968425,3.990745814814815
9365,root_mid_out_24h,9365,5918,63,其它,其它,受害人,2025-08-27 11:22:59,2025-08-27 13:37:22,2.2397222222222224,250000.0,272.34,0.00108936,3.908856960740741
9365,root_mid_out_24h,9365,1511,63,其它,其它,受害人,2025-08-27 11:22:59,2025-08-27 13:37:22,2.2397222222222224,250000.0,272.34,0.00108936,3.908856960740741
9365,root_mid_out_24h,9365,1511,63,其它,其它,受害人,2025-08-18 10:57:10,2025-08-18 13:47:06,2.832222222222222,600000.0,1867.55,0.0031125833333333,3.888215907407408
9365,root_mid_out_24h,9365,5918,63,其它,其它,受害人,2025-08-18 10:57:10,2025-08-18 13:47:06,2.832222222222222,600000.0,1867.55,0.0031125833333333,3.888215907407408
9365,root_mid_out_24h,9365,1511,4726,其它,其它,其它,2025-08-19 09:30:43,2025-08-19 10:28:22,0.9608333333333332,200000.0,100000.0,0.5,1.9599652777777776
9365,root_mid_out_24h,9365,5918,4726,其它,其它,其它,2025-08-19 09:30:43,2025-08-19 10:28:22,0.9608333333333332,200000.0,100000.0,0.5,1.9599652777777776
9365,root_mid_out_24h,9365,5918,2630,其它,其它,其它,2025-08-18 10:57:10,2025-08-18 12:14:27,1.2880555555555555,600000.0,200000.0,0.3333333333333333,1.612997685185185
9365,root_mid_out_24h,9365,1511,2630,其它,其它,其它,2025-08-18 10:57:10,2025-08-18 12:14:27,1.2880555555555555,600000.0,200000.0,0.3333333333333333,1.612997685185185
9365,root_mid_out_24h,9365,5918,4726,其它,其它,其它,2025-08-19 09:46:29,2025-08-19 10:28:22,0.6980555555555555,400000.0,100000.0,0.25,1.4709143518518517
9365,root_mid_out_24h,9365,1511,4726,其它,其它,其它,2025-08-19 09:46:29,2025-08-19 10:28:22,0.6980555555555555,400000.0,100000.0,0.25,1.4709143518518517
9365,root_mid_out_24h,9365,1511,9257,其它,其它,其它,2025-08-19 14:39:40,2025-08-19 14:49:15,0.1597222222222222,200000.0,100.96,0.0005048,0.9943545074074074
9365,root_mid_out_24h,9365,5918,9257,其它,其它,其它,2025-08-19 14:39:40,2025-08-19 14:49:15,0.1597222222222222,200000.0,100.96,0.0005048,0.9943545074074074
9365,root_mid_out_24h,9365,1511,78,其它,其它,其它,2025-08-19 09:30:43,2025-08-19 09:42:29,0.1961111111111111,200000.0,3537840.6,17.689203,0.9918287037037036
9365,root_mid_out_24h,9365,5918,78,其它,其它,其它,2025-08-19 09:30:43,2025-08-19 09:42:29,0.1961111111111111,200000.0,3537840.6,17.689203,0.9918287037037036
9365,root_mid_out_24h,9365,5918,201,其它,其它,其它,2025-07-08 15:09:53,2025-07-08 15:22:42,0.2136111111111111,50000.0,78700000.0,1574.0,0.991099537037037
9365,root_mid_out_24h,9365,1511,201,其它,其它,其它,2025-07-08 15:09:53,2025-07-08 15:22:42,0.2136111111111111,50000.0,78700000.0,1574.0,0.991099537037037
9365,root_mid_out_24h,9365,5918,6004,其它,其它,其它,2025-08-18 14:41:52,2025-08-18 14:58:32,0.2777777777777778,200000.0,5560000.0,27.8,0.988425925925926
9365,root_mid_out_24h,9365,1511,6004,其它,其它,其它,2025-08-18 14:41:52,2025-08-18 14:58:32,0.2777777777777778,200000.0,5560000.0,27.8,0.988425925925926
9365,root_mid_out_24h,9365,1511,5311,其它,其它,其它,2025-08-19 14:39:40,2025-08-19 15:10:26,0.5127777777777778,200000.0,770.0,0.00385,0.9863342592592592
9365,root_mid_out_24h,9365,5918,5311,其它,其它,其它,2025-08-19 14:39:40,2025-08-19 15:10:26,0.5127777777777778,200000.0,770.0,0.00385,0.9863342592592592
9365,root_mid_out_24h,9365,1511,6004,其它,其它,其它,2025-08-18 14:36:52,2025-08-18 14:58:32,0.3611111111111111,300000.0,5560000.0,18.533333333333335,0.9849537037037036
9365,root_mid_out_24h,9365,5918,6004,其它,其它,其它,2025-08-18 14:36:52,2025-08-18 14:58:32,0.3611111111111111,300000.0,5560000.0,18.533333333333335,0.9849537037037036
9365,root_mid_out_24h,9365,5918,201,其它,其它,其它,2025-08-19 14:39:40,2025-08-19 15:05:03,0.4230555555555556,200000.0,54840000.0,274.2,0.9823726851851852
9365,root_mid_out_24h,9365,1511,201,其它,其它,其它,2025-08-19 14:39:40,2025-08-19 15:05:03,0.4230555555555556,200000.0,54840000.0,274.2,0.9823726851851852
9365,root_mid_out_24h,9365,5918,6004,其它,其它,其它,2025-08-18 13:24:01,2025-08-18 14:06:14,0.7036111111111111,400000.0,26039500.0,65.09875,0.9706828703703704
9365,root_mid_out_24h,9365,1511,6004,其它,其它,其它,2025-08-18 13:24:01,2025-08-18 14:06:14,0.7036111111111111,400000.0,26039500.0,65.09875,0.9706828703703704
9365,root_mid_out_24h,9365,5918,201,其它,其它,其它,2025-08-18 14:41:52,2025-08-18 15:28:53,0.7836111111111111,200000.0,19330000.0,96.65,0.9673495370370372
9365,root_mid_out_24h,9365,1511,201,其它,其它,其它,2025-08-18 14:41:52,2025-08-18 15:28:53,0.7836111111111111,200000.0,19330000.0,96.65,0.9673495370370372
9365,root_mid_out_24h,9365,1511,9257,其它,其它,其它,2025-08-19 13:57:27,2025-08-19 14:49:15,0.8633333333333333,300000.0,100.96,0.0003365333333333,0.9647008444444446
9365,root_mid_out_24h,9365,5918,9257,其它,其它,其它,2025-08-19 13:57:27,2025-08-19 14:49:15,0.8633333333333333,300000.0,100.96,0.0003365333333333,0.9647008444444446
9365,root_mid_out_24h,9365,1511,201,其它,其它,其它,2025-08-18 14:36:52,2025-08-18 15:28:53,0.8669444444444444,300000.0,19330000.0,64.43333333333334,0.9638773148148148
9365,root_mid_out_24h,9365,5918,201,其它,其它,其它,2025-08-18 14:36:52,2025-08-18 15:28:53,0.8669444444444444,300000.0,19330000.0,64.43333333333334,0.9638773148148148
9365,root_mid_out_24h,9365,5918,5311,其它,其它,其它,2025-08-19 13:57:27,2025-08-19 15:10:26,1.216388888888889,300000.0,770.0,0.0025666666666666,0.9544504629629632
9365,root_mid_out_24h,9365,1511,5311,其它,其它,其它,2025-08-19 13:57:27,2025-08-19 15:10:26,1.216388888888889,300000.0,770.0,0.0025666666666666,0.9544504629629632
9365,root_mid_out_24h,9365,5918,201,其它,其它,其它,2025-08-19 13:57:27,2025-08-19 15:05:03,1.1266666666666667,300000.0,54840000.0,182.8,0.9530555555555555
9365,root_mid_out_24h,9365,1511,201,其它,其它,其它,2025-08-19 13:57:27,2025-08-19 15:05:03,1.1266666666666667,300000.0,54840000.0,182.8,0.9530555555555555
9365,root_mid_out_24h,9365,1511,6004,其它,其它,其它,2025-08-18 13:24:01,2025-08-18 14:58:32,1.5752777777777778,400000.0,5560000.0,13.9,0.934363425925926
9365,root_mid_out_24h,9365,5918,6004,其它,其它,其它,2025-08-18 13:24:01,2025-08-18 14:58:32,1.5752777777777778,400000.0,5560000.0,13.9,0.934363425925926
9365,root_mid_out_24h,9365,1511,7538,其它,其它,其它,2025-08-20 13:11:26,2025-08-20 14:48:06,1.6111111111111112,200000.0,25000000.0,125.0,0.9328703703703703
9365,root_mid_out_24h,9365,5918,7538,其它,其它,其它,2025-08-20 13:11:26,2025-08-20 14:48:06,1.6111111111111112,200000.0,25000000.0,125.0,0.9328703703703703
9365,root_mid_out_24h,9365,5918,201,其它,其它,其它,2025-08-18 13:24:01,2025-08-18 15:28:53,2.081111111111111,400000.0,19330000.0,48.325,0.9132870370370372
9365,root_mid_out_24h,9365,1511,201,其它,其它,其它,2025-08-18 13:24:01,2025-08-18 15:28:53,2.081111111111111,400000.0,19330000.0,48.325,0.9132870370370372
9365,root_mid_out_24h,9365,1511,201,其它,其它,其它,2025-08-20 13:11:26,2025-08-20 15:28:43,2.2880555555555557,200000.0,16130000.0,80.65,0.9046643518518518
9365,root_mid_out_24h,9365,5918,201,其它,其它,其它,2025-08-20 13:11:26,2025-08-20 15:28:43,2.2880555555555557,200000.0,16130000.0,80.65,0.9046643518518518
9928,root_mid_out_24h,9928,3842,10446,其它,其它,其它,2025-08-05 14:17:21,2025-08-06 09:50:03,19.545,600000.0,892740.19,1.4879003166666669,1.2098243666666666
9928,root_mid_out_24h,9928,3842,7991,其它,其它,其它,2025-08-05 14:17:21,2025-08-06 09:50:03,19.545,600000.0,892740.19,1.4879003166666669,1.2098243666666666
9928,root_mid_out_24h,9928,5584,7991,其它,其它,其它,2025-08-05 14:17:21,2025-08-06 09:50:03,19.545,600000.0,892740.19,1.4879003166666669,1.2098243666666666
9928,root_mid_out_24h,9928,5584,10446,其它,其它,其它,2025-08-05 14:17:21,2025-08-06 09:50:03,19.545,600000.0,892740.19,1.4879003166666669,1.2098243666666666
