experiment,model_key,model_alias,feature_policy,split,evaluation_scope,feature_count,auc,pr_auc_average_precision,top1pct_hits,top1pct_recall,top5pct_hits,top5pct_recall
model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_no_customer_type_strategy_A,model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_no_customer_type_strategy_A,动态资金图谱 XGB,删除 customer_type，拼接时间分桶、金额分箱、时序模体和节点记忆动态特征,test,strategy_A_eligible,383,0.9901754988199957,0.44446880349101964,35,0.5932203389830508,57,0.9661016949152542
model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_no_customer_type_strategy_A,model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_no_customer_type_strategy_A,动态资金图谱 XGB,删除 customer_type，拼接时间分桶、金额分箱、时序模体和节点记忆动态特征,valid_all_accounts,all_accounts,383,0.9742289272913939,0.32578704763506017,29,0.4915254237288136,56,0.9491525423728814
model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_no_customer_type_strategy_A,model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_no_customer_type_strategy_A,动态资金图谱 XGB,删除 customer_type，拼接时间分桶、金额分箱、时序模体和节点记忆动态特征,test_all_accounts,all_accounts,383,0.9855160669605257,0.31265441235426245,29,0.4915254237288136,57,0.9661016949152542
model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_txn_graph_only_strategy_A,model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_txn_graph_only_strategy_A,动态资金图谱 XGB 弱画像,删除 customer_type、region_code、account_age_months,valid,strategy_A_eligible,381,0.7302776228277194,0.028999200409201904,1,0.01694915254237288,1,0.01694915254237288
model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_txn_graph_only_strategy_A,model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_txn_graph_only_strategy_A,动态资金图谱 XGB 弱画像,删除 customer_type、region_code、account_age_months,test,strategy_A_eligible,381,0.7397571336623042,0.029666517111767012,1,0.01694915254237288,1,0.01694915254237288
model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_txn_graph_only_strategy_A,model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_txn_graph_only_strategy_A,动态资金图谱 XGB 弱画像,删除 customer_type、region_code、account_age_months,valid_all_accounts,all_accounts,381,0.6896113436983211,0.020972605145580518,4,0.06779661016949153,12,0.2033898305084746
model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_txn_graph_only_strategy_A,model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_txn_graph_only_strategy_A,动态资金图谱 XGB 弱画像,删除 customer_type、region_code、account_age_months,test_all_accounts,all_accounts,381,0.7237263544874987,0.021175367614390025,4,0.06779661016949153,9,0.15254237288135594
model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_only_strategy_A,model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_only_strategy_A,纯动态资金图谱 XGB,只使用 dyn_* 动态图谱特征,valid,strategy_A_eligible,180,0.7941420296073803,0.03256195369501541,1,0.01694915254237288,2,0.03389830508474576
model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_only_strategy_A,model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_only_strategy_A,纯动态资金图谱 XGB,只使用 dyn_* 动态图谱特征,test,strategy_A_eligible,180,0.8066148895086891,0.03376116813046822,1,0.01694915254237288,2,0.03389830508474576
model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_only_strategy_A,model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_only_strategy_A,纯动态资金图谱 XGB,只使用 dyn_* 动态图谱特征,valid_all_accounts,all_accounts,180,0.771377018744275,0.017959779077769727,2,0.03389830508474576,9,0.15254237288135594
model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_only_strategy_A,model5_xgb_dynamic_graph_v6_rolling_memory_dynamic_only_strategy_A,纯动态资金图谱 XGB,只使用 dyn_* 动态图谱特征,test_all_accounts,all_accounts,180,0.7903226302232222,0.018639619397294502,2,0.03389830508474576,9,0.15254237288135594
v6_rolling_memory_dynamic_no_customer_type,model4_stack_v6_rolling_memory_dynamic_no_customer_type_strategy_A,动态资金图谱融合模型,XGB 主模型 + 动态资金图谱分支，验证集选择权重,valid,strategy_A_eligible,,0.9749633125938639,0.31326926285187806,28,0.4745762711864407,56,0.9491525423728814
v6_rolling_memory_dynamic_no_customer_type,model4_stack_v6_rolling_memory_dynamic_no_customer_type_strategy_A,动态资金图谱融合模型,XGB 主模型 + 动态资金图谱分支，验证集选择权重,test,strategy_A_eligible,,0.9862484445397983,0.33847227642572886,27,0.4576271186440678,57,0.9661016949152542
v6_rolling_memory_dynamic_no_customer_type,model4_stack_v6_rolling_memory_dynamic_no_customer_type_strategy_A,动态资金图谱融合模型,XGB 主模型 + 动态资金图谱分支，验证集选择权重,valid_all_accounts,all_accounts,,0.9756505781892625,0.33305514454750074,32,0.5423728813559322,56,0.9491525423728814
v6_rolling_memory_dynamic_no_customer_type,model4_stack_v6_rolling_memory_dynamic_no_customer_type_strategy_A,动态资金图谱融合模型,XGB 主模型 + 动态资金图谱分支，验证集选择权重,test_all_accounts,all_accounts,,0.9879674541844181,0.36155310295978255,33,0.559322033898305,57,0.9661016949152542
